channel_url,channel_name,scrape_at,channel_country,channel_subscriber
/channel/UChBuOaW4k950AD9iilAGpTw,あしゅtube,2020-08-07,,
/channel/UCH5d0KmdMzXakQvpWBGWWuw,ara BGM channel,2020-08-07,,
/channel/UCDS5aSHH3scJcVBpFlnqqgg,Neww,2020-08-07,,
/user/trunganh1998,Planet Animals,2020-08-07,,
/channel/UCu05tqZvLDbY0nykJEF1cwA,Im Siren,2020-08-07,,
/channel/UCUUY4H6AYPHpBld2aTICeaA,花より団子よりゲームチャンネル,2020-08-07,,
/channel/UC1zFJrfEKvCixhsjNSb1toQ,シスター・クレア -SisterClaire-,2020-08-07,,
/channel/UCFnveSQaQBX0d49fr-Hi-Hg,SST Nature Sounds,2020-08-07,,
/channel/UC4m3BXJ-M9FlKNzTPsb14qQ,Soothing music harmix,2020-08-07,,
/channel/UCDgXXkqp5tHua1JS-Vhae5A,器楽曲,2020-08-07,,
/channel/UCOqMSpy8P_Nkyky3cSNmoaQ,邦楽 Jpop,2020-08-07,,
/channel/UCCUCt_ehS4TTVi_tz927caA,Gregory Leyva,2020-08-07,,
/channel/UCCbv7MNi-XV8SIf9pcJQzkw,Sassa 0809,2020-08-07,,
/channel/UCjp00jWcw_s8srSoXPV-b0A,sepa rate,2020-08-07,,
/channel/UCrGf4EL3O9IIrC_N4U_ojXw,えいえい,2020-08-07,,
/user/piku2rei,piku2rei,2020-08-07,,
/channel/UCs7XCzx9paLpiuJ7K6_fduw,Medvjed-メドジェッド,2020-08-07,,
/channel/UCQM-Ri4RkR_os27qHYL-qiQ,Catclannadlight,2020-08-07,,
/channel/UC5csDH5Qe9cRgkivkJ4JlLg,music YT channel,2020-08-07,,
/channel/UCjGmO_tEUCRgjV_gq6RaZlg,TKsanX_sub,2020-08-07,,
/channel/UCPrjycK4eiQhUw2PnVIq7Gg,CANACANA family,2020-08-07,,
/user/nokzy13,Gabriel BGM,2020-08-07,,
/channel/UCDLKZTGpIJcob7j6tbNjsbQ,船橋こたろう,2020-08-07,,
/user/charkbs,Anison Medley!!,2020-08-07,,
/channel/UCErBcClW4T1-uAumNDg7PRw,Kohchan Nightcore,2020-08-07,,
/channel/UCFJYxinKRXu1RnZfIHGxidg,ViVi Entertainment,2020-08-07,,
/user/sennninn3,Free BGM channel,2020-08-07,,
/user/rockvsjazz,rockvsjazz,2020-08-07,,
